gene_callers_id	detection
38199	DETECTED
38200	DETECTED
38201	DETECTED
38202	DETECTED
38203	DETECTED
38204	DETECTED
38205	DETECTED
38206	DETECTED
38207	DETECTED
38208	DETECTED
38209	DETECTED
38210	DETECTED
38211	DETECTED
38212	DETECTED
38213	DETECTED
38214	DETECTED
38215	DETECTED
38216	DETECTED
38217	DETECTED
38218	DETECTED
38219	NOT DETECTED
38220	DETECTED
38221	DETECTED
38222	DETECTED
38223	DETECTED
38224	DETECTED
38225	DETECTED
38226	DETECTED
38227	DETECTED
38228	NOT DETECTED
38229	DETECTED
38230	DETECTED
38231	DETECTED
38232	DETECTED
38233	DETECTED
38234	DETECTED
38235	DETECTED
38236	DETECTED
38237	DETECTED
38238	DETECTED
38239	DETECTED
38240	DETECTED
38241	DETECTED
38242	DETECTED
38243	DETECTED
38244	DETECTED
38245	DETECTED
38246	DETECTED
38247	DETECTED
38248	DETECTED
38249	DETECTED
38250	DETECTED
38251	DETECTED
38252	DETECTED
38253	DETECTED
38254	DETECTED
38255	DETECTED
38256	DETECTED
38257	DETECTED
38258	DETECTED
38259	DETECTED
38260	NOT DETECTED
38261	DETECTED
38262	DETECTED
38263	DETECTED
38264	DETECTED
38265	DETECTED
38266	DETECTED
38267	DETECTED
38268	DETECTED
38269	DETECTED
38270	DETECTED
38271	DETECTED
38272	DETECTED
38273	DETECTED
38274	DETECTED
38275	DETECTED
38276	DETECTED
38277	DETECTED
38278	DETECTED
38279	DETECTED
38280	DETECTED
38281	DETECTED
38282	DETECTED
38283	DETECTED
38284	DETECTED
38285	DETECTED
38286	DETECTED
38287	DETECTED
38288	NOT DETECTED
38289	DETECTED
38290	DETECTED
38291	DETECTED
38292	DETECTED
38293	DETECTED
38294	DETECTED
38295	DETECTED
38296	DETECTED
38297	DETECTED
38298	DETECTED
38299	DETECTED
38300	DETECTED
38301	DETECTED
38302	DETECTED
38303	DETECTED
38304	DETECTED
38305	DETECTED
38306	DETECTED
38307	DETECTED
38308	DETECTED
38309	DETECTED
38310	DETECTED
38311	DETECTED
38312	NOT DETECTED
38313	DETECTED
38314	DETECTED
38315	NOT DETECTED
38316	NOT DETECTED
38317	DETECTED
38318	NOT DETECTED
38319	DETECTED
38320	DETECTED
38321	DETECTED
38322	DETECTED
38323	DETECTED
38324	DETECTED
38325	DETECTED
38326	DETECTED
38327	DETECTED
38328	DETECTED
38329	DETECTED
38330	NOT DETECTED
38331	NOT DETECTED
38332	DETECTED
38333	DETECTED
38334	DETECTED
38335	DETECTED
38336	DETECTED
38337	DETECTED
38338	DETECTED
38339	DETECTED
38340	DETECTED
38341	DETECTED
38342	DETECTED
38343	DETECTED
38344	DETECTED
38345	DETECTED
38346	DETECTED
38347	DETECTED
38348	DETECTED
38349	DETECTED
38350	DETECTED
38351	DETECTED
38352	DETECTED
38353	DETECTED
38354	DETECTED
38355	DETECTED
38356	DETECTED
38357	DETECTED
38358	DETECTED
38359	DETECTED
38360	DETECTED
38361	DETECTED
38362	DETECTED
38363	DETECTED
38364	DETECTED
38365	DETECTED
38366	DETECTED
38367	DETECTED
38368	NOT DETECTED
38369	NOT DETECTED
38370	DETECTED
38371	DETECTED
38372	DETECTED
38373	NOT DETECTED
38374	DETECTED
38375	DETECTED
38376	DETECTED
38377	DETECTED
38378	DETECTED
38379	DETECTED
38380	DETECTED
38381	DETECTED
38382	DETECTED
38383	DETECTED
38384	DETECTED
38385	DETECTED
38386	DETECTED
38387	DETECTED
38388	DETECTED
38389	DETECTED
38390	DETECTED
38391	DETECTED
38392	DETECTED
38393	DETECTED
38394	DETECTED
38395	DETECTED
38396	DETECTED
38397	DETECTED
38398	DETECTED
38399	DETECTED
38400	DETECTED
38401	DETECTED
38402	DETECTED
38403	DETECTED
38404	DETECTED
38405	DETECTED
38406	DETECTED
38407	DETECTED
38408	DETECTED
38409	DETECTED
38410	DETECTED
38411	DETECTED
38412	DETECTED
38413	DETECTED
38414	DETECTED
38415	DETECTED
38416	DETECTED
38417	DETECTED
38418	DETECTED
38419	DETECTED
38420	NOT DETECTED
38421	DETECTED
38422	DETECTED
38423	DETECTED
38424	DETECTED
38425	DETECTED
38426	DETECTED
38427	DETECTED
38428	DETECTED
38429	DETECTED
38430	DETECTED
38431	DETECTED
38432	DETECTED
38433	DETECTED
38434	DETECTED
