contig	PR_origin	Ribisomal_P
PR_node_1660_split_00001	PR	
PR_node_1661_split_00001	PR	
PR_node_1663_split_00001	PR	
PR_node_1665_split_00001	PR	
PR_node_1666_split_00001	PR	
PR_node_1667_split_00001	PR	
PR_node_1668_split_00001	PR	
PR_node_1674_split_00001	PR	
PR_node_1680_split_00001	PR	
PR_node_1681_split_00001	PR	
PR_node_1690_split_00001	PR	
PR_node_1695_split_00001	PR	
PR_node_1697_split_00001	PR	
PR_node_1700_split_00001	PR	
PR_node_1702_split_00001	PR	
PR_node_1704_split_00001	PR	
PR_node_1708_split_00001	PR	
PR_node_1713_split_00001	PR	
PR_node_1714_split_00001	PR	
PR_node_1723_split_00001	PR	
PR_node_1724_split_00001	PR	
PR_node_1726_split_00001	PR	
PR_node_1728_split_00001	PR	
PR_node_1730_split_00001	PR	
PR_node_1733_split_00001	PR	
PR_node_1748_split_00001	PR	
PR_node_1749_split_00001	PR	
PR_node_1755_split_00001	PR	
PR_node_1756_split_00001	PR	
PR_node_1760_split_00001	PR	
PR_node_1763_split_00001	PR	
PR_node_1770_split_00001	PR	
PR_node_1776_split_00001	PR	
PR_node_1777_split_00001	PR	
PR_node_1783_split_00001	PR	
PR_node_1789_split_00001	PR	
PR_node_1791_split_00001	PR	
PR_node_1792_split_00001	PR	
PR_node_1793_split_00001	PR	
PR_node_1794_split_00001	PR	
PR_node_1796_split_00001	PR	
PR_node_1797_split_00001	PR	
PR_node_1799_split_00001	PR	
PR_node_1809_split_00001	PR	
PR_node_1816_split_00001	PR	
PR_node_1818_split_00001	PR	
PR_node_1826_split_00001	PR	
PR_node_1827_split_00001	PR	
PR_node_1830_split_00001	PR	
PR_node_1831_split_00001	PR	
PR_node_1832_split_00001	PR	
PR_node_1833_split_00001	PR	
PR_node_1834_split_00001	PR	
PR_node_1836_split_00001	PR	
PR_node_1837_split_00001	PR	
PR_node_1838_split_00001	PR	
PR_node_1839_split_00001	PR	
PR_node_1840_split_00001	PR	
PR_node_1846_split_00001	PR	
PR_node_1849_split_00001	PR	
PR_node_1856_split_00001	PR	
PR_node_1857_split_00001	PR	
PR_node_1858_split_00001	PR	
PR_node_1862_split_00001	PR	
PR_node_1866_split_00001	PR	
PR_node_1868_split_00001	PR	
PR_node_1869_split_00001	PR	
