MAG	recipient	outcome	transplant_sample	transplant_mean_cov_Q2Q3
DA_MAG_00109	R05	ambiguous	DA_D_08	0.00243291684292
DA_MAG_00110	R01	colonization	DA_D_09	138.80009366
DA_MAG_00110	R02	colonization	DA_D_10	210.916895956
DA_MAG_00110	R03	ambiguous	DA_D_15	238.80641346299998
DA_MAG_00110	R04	ambiguous	DA_D_14	107.559436619
DA_MAG_00110	R05	no_colonization	DA_D_08	36.9880505929
DA_MAG_00111	R01	ambiguous	DA_D_09	0.06557140892749999
DA_MAG_00111	R02	ambiguous	DA_D_10	0.0572131387276
DA_MAG_00111	R03	ambiguous	DA_D_15	0.07351279146669999
DA_MAG_00111	R04	ambiguous	DA_D_14	0.20896417603599998
DA_MAG_00111	R05	ambiguous	DA_D_08	0.0684865668319
DA_MAG_00112	R01	colonization	DA_D_09	10.867923279600001
DA_MAG_00112	R02	colonization	DA_D_10	16.24461194
DA_MAG_00112	R03	ambiguous	DA_D_15	36.045876874899996
DA_MAG_00112	R04	ambiguous	DA_D_14	11.345572926
DA_MAG_00112	R05	colonization	DA_D_08	67.9364215657
DA_MAG_00113	R01	ambiguous	DA_D_09	15.275762556099998
DA_MAG_00113	R02	ambiguous	DA_D_10	4.652011325809999
DA_MAG_00113	R03	ambiguous	DA_D_15	4.364278461840001
DA_MAG_00113	R04	ambiguous	DA_D_14	8.80130859402
DA_MAG_00113	R05	colonization	DA_D_08	5.8009875095800005
DA_MAG_00114	R01	colonization	DA_D_09	2.88106720568
DA_MAG_00114	R02	colonization	DA_D_10	3.1112387948
DA_MAG_00114	R03	ambiguous	DA_D_15	4.13231852701
DA_MAG_00114	R04	colonization	DA_D_14	2.11065356378
DA_MAG_00114	R05	no_colonization	DA_D_08	0.794417246127
DA_MAG_00115	R01	ambiguous	DA_D_09	5.41054695656
DA_MAG_00115	R02	no_colonization	DA_D_10	21.257949253299998
DA_MAG_00115	R03	no_colonization	DA_D_15	9.84559393582
DA_MAG_00115	R04	ambiguous	DA_D_14	4.40097377937
DA_MAG_00115	R05	ambiguous	DA_D_08	2.68820480232
DA_MAG_00120	R01	colonization	DA_D_09	14.436062103800001
DA_MAG_00120	R02	colonization	DA_D_10	6.44846194147
DA_MAG_00120	R03	colonization	DA_D_15	15.9323604733
DA_MAG_00120	R04	ambiguous	DA_D_14	18.403700218399997
DA_MAG_00120	R05	colonization	DA_D_08	5.36464726523
DA_MAG_00121	R01	colonization	DA_D_09	9.11217101991
DA_MAG_00121	R02	ambiguous	DA_D_10	11.5561469545
DA_MAG_00121	R03	no_colonization	DA_D_15	9.13348218727
DA_MAG_00121	R04	ambiguous	DA_D_14	3.41889356965
DA_MAG_00121	R05	no_colonization	DA_D_08	6.604632851159999
DA_MAG_00122	R01	ambiguous	DA_D_09	0.00136549974498
DA_MAG_00122	R02	ambiguous	DA_D_10	0.000801073585591
DA_MAG_00122	R03	ambiguous	DA_D_15	0.00605708221493
DA_MAG_00122	R04	ambiguous	DA_D_14	0.0892622752716
DA_MAG_00122	R05	ambiguous	DA_D_08	0.0009547789236379999
DA_MAG_00125	R01	ambiguous	DA_D_09	0.149275334162
DA_MAG_00125	R02	no_colonization	DA_D_10	0.517519401241
DA_MAG_00125	R03	no_colonization	DA_D_15	0.646683365847
DA_MAG_00125	R04	colonization	DA_D_14	4.32906072803
DA_MAG_00125	R05	ambiguous	DA_D_08	0.0633330608942
DA_MAG_00127	R01	ambiguous	DA_D_09	0.0488161758805
DA_MAG_00127	R02	ambiguous	DA_D_10	0.0615412059187
DA_MAG_00127	R03	no_colonization	DA_D_15	0.523185639155
DA_MAG_00127	R04	ambiguous	DA_D_14	0.240702599967
DA_MAG_00127	R05	ambiguous	DA_D_08	0.0576422256783
DA_MAG_00128	R01	ambiguous	DA_D_09	0.0101150102974
DA_MAG_00128	R02	ambiguous	DA_D_10	0.0183969243724
DA_MAG_00128	R03	ambiguous	DA_D_15	0.0219165342673
DA_MAG_00128	R04	ambiguous	DA_D_14	0.196171426664
DA_MAG_00128	R05	ambiguous	DA_D_08	0.00975751174493
