MAG	recipient	outcome	transplant_sample	transplant_mean_cov_Q2Q3
DB_MAG_00043	R01	ambiguous	DB_D_08	30.165955091100003
DB_MAG_00043	R02	no_colonization	DB_D_11	27.744716399
DB_MAG_00043	R03	ambiguous	DB_D_14	0.051157312709300004
DB_MAG_00043	R04	no_colonization	DB_D_13	5.7000802301
DB_MAG_00043	R05	no_colonization	DB_D_07	12.3775910793
DB_MAG_00044	R01	no_colonization	DB_D_08	12.0966294549
DB_MAG_00044	R02	no_colonization	DB_D_11	7.6093397534200005
DB_MAG_00044	R03	ambiguous	DB_D_14	12.7972434822
DB_MAG_00044	R04	ambiguous	DB_D_13	4.51419520116
DB_MAG_00044	R05	colonization	DB_D_07	10.41945281
DB_MAG_00049	R01	no_colonization	DB_D_08	4.5464957153
DB_MAG_00049	R02	no_colonization	DB_D_11	2.7162028032
DB_MAG_00049	R03	ambiguous	DB_D_14	42.9381025981
DB_MAG_00049	R04	ambiguous	DB_D_13	34.5007101513
DB_MAG_00049	R05	colonization	DB_D_07	3.48481453862
DB_MAG_00051	R01	ambiguous	DB_D_08	10.865188348599998
DB_MAG_00051	R02	colonization	DB_D_11	4.9101293980900005
DB_MAG_00051	R03	ambiguous	DB_D_14	10.822807588599998
DB_MAG_00051	R04	ambiguous	DB_D_13	15.585496344500001
DB_MAG_00051	R05	colonization	DB_D_07	15.657961893800001
DB_MAG_00055	R01	ambiguous	DB_D_08	8.928013913600001
DB_MAG_00055	R02	colonization	DB_D_11	32.753174557399994
DB_MAG_00055	R03	ambiguous	DB_D_14	17.7635545305
DB_MAG_00055	R04	ambiguous	DB_D_13	18.256794959300002
DB_MAG_00055	R05	colonization	DB_D_07	4.73940521904
DB_MAG_00060	R01	colonization	DB_D_08	6.237805916259999
DB_MAG_00060	R02	no_colonization	DB_D_11	5.99228013198
DB_MAG_00060	R03	colonization	DB_D_14	9.3106821211
DB_MAG_00060	R04	ambiguous	DB_D_13	9.21588228638
DB_MAG_00060	R05	colonization	DB_D_07	4.77822162149
DB_MAG_00065	R01	ambiguous	DB_D_08	73.62867406939999
DB_MAG_00065	R02	no_colonization	DB_D_11	67.75423285689999
DB_MAG_00065	R03	ambiguous	DB_D_14	41.6237253056
DB_MAG_00065	R04	ambiguous	DB_D_13	57.4442981741
